figure,series,sf,name,storage,rep,seconds
fig7_10,duckdb_latencies,1,customer,nfs,1,1.722
fig7_10,duckdb_latencies,1,customer,nfs,2,1.723
fig7_10,duckdb_latencies,1,customer,nfs,3,1.704
fig7_10,duckdb_latencies,1,customer,local,1,0.405
fig7_10,duckdb_latencies,1,customer,local,2,0.407
fig7_10,duckdb_latencies,1,customer,local,3,0.427
fig7_10,duckdb_latencies,1,part,nfs,1,1.824
fig7_10,duckdb_latencies,1,part,nfs,2,1.815
fig7_10,duckdb_latencies,1,part,nfs,3,1.796
fig7_10,duckdb_latencies,1,part,local,1,0.549
fig7_10,duckdb_latencies,1,part,local,2,0.556
fig7_10,duckdb_latencies,1,part,local,3,0.547
fig7_10,duckdb_latencies,1,supplier,nfs,1,1.673
fig7_10,duckdb_latencies,1,supplier,nfs,2,1.687
fig7_10,duckdb_latencies,1,supplier,nfs,3,1.670
fig7_10,duckdb_latencies,1,supplier,local,1,0.375
fig7_10,duckdb_latencies,1,supplier,local,2,0.361
fig7_10,duckdb_latencies,1,supplier,local,3,0.348
fig8,duckdb_ms,1,selfjoin_orderkey,nfs,1,0.239
fig8,duckdb_ms,1,selfjoin_orderkey,nfs,2,0.237
fig8,duckdb_ms,1,selfjoin_orderkey,nfs,3,0.239
fig8,duckdb_ms,1,selfjoin_orderkey,local,1,0.137
fig8,duckdb_ms,1,selfjoin_orderkey,local,2,0.133
fig8,duckdb_ms,1,selfjoin_orderkey,local,3,0.131
fig9,duckdb_distinct,1,C-0,nfs,1,0.173
fig9,duckdb_distinct,1,C-0,nfs,2,0.168
fig9,duckdb_distinct,1,C-0,nfs,3,0.171
fig9,duckdb_distinct,1,C-0,local,1,0.050
fig9,duckdb_distinct,1,C-0,local,2,0.047
fig9,duckdb_distinct,1,C-0,local,3,0.049
fig9,duckdb_where,1,C-1,nfs,1,1.490
fig9,duckdb_where,1,C-1,nfs,2,1.488
fig9,duckdb_where,1,C-1,nfs,3,1.492
fig9,duckdb_where,1,C-1,local,1,0.164
fig9,duckdb_where,1,C-1,local,2,0.158
fig9,duckdb_where,1,C-1,local,3,0.142
fig7_10,duckdb_latencies,10,customer,nfs,1,12.744
fig7_10,duckdb_latencies,10,customer,nfs,2,12.758
fig7_10,duckdb_latencies,10,customer,nfs,3,12.689
fig7_10,duckdb_latencies,10,customer,local,1,3.352
fig7_10,duckdb_latencies,10,customer,local,2,3.212
fig7_10,duckdb_latencies,10,customer,local,3,3.213
fig7_10,duckdb_latencies,10,part,nfs,1,12.821
fig7_10,duckdb_latencies,10,part,nfs,2,12.831
fig7_10,duckdb_latencies,10,part,nfs,3,12.834
fig7_10,duckdb_latencies,10,part,local,1,3.323
fig7_10,duckdb_latencies,10,part,local,2,3.279
fig7_10,duckdb_latencies,10,part,local,3,3.274
fig7_10,duckdb_latencies,10,supplier,nfs,1,12.482
fig7_10,duckdb_latencies,10,supplier,nfs,2,12.565
fig7_10,duckdb_latencies,10,supplier,nfs,3,12.663
fig7_10,duckdb_latencies,10,supplier,local,1,2.696
fig7_10,duckdb_latencies,10,supplier,local,2,2.703
fig7_10,duckdb_latencies,10,supplier,local,3,2.722
fig8,duckdb_ms,10,selfjoin_orderkey,nfs,1,1.665
fig8,duckdb_ms,10,selfjoin_orderkey,nfs,2,1.668
fig8,duckdb_ms,10,selfjoin_orderkey,nfs,3,1.656
fig8,duckdb_ms,10,selfjoin_orderkey,local,1,0.847
fig8,duckdb_ms,10,selfjoin_orderkey,local,2,0.863
fig8,duckdb_ms,10,selfjoin_orderkey,local,3,0.870
fig9,duckdb_distinct,10,C-0,nfs,1,1.218
fig9,duckdb_distinct,10,C-0,nfs,2,1.213
fig9,duckdb_distinct,10,C-0,nfs,3,1.212
fig9,duckdb_distinct,10,C-0,local,1,0.317
fig9,duckdb_distinct,10,C-0,local,2,0.327
fig9,duckdb_distinct,10,C-0,local,3,0.332
fig9,duckdb_where,10,C-1,nfs,1,12.583
fig9,duckdb_where,10,C-1,nfs,2,12.582
fig9,duckdb_where,10,C-1,nfs,3,12.662
fig9,duckdb_where,10,C-1,local,1,1.181
fig9,duckdb_where,10,C-1,local,2,1.178
fig9,duckdb_where,10,C-1,local,3,1.172
fig7_10,duckdb_latencies,100,customer,nfs,1,138.323
fig7_10,duckdb_latencies,100,customer,nfs,2,138.324
fig7_10,duckdb_latencies,100,customer,local,1,27.791
fig7_10,duckdb_latencies,100,customer,local,2,28.522
fig7_10,duckdb_latencies,100,part,nfs,1,
fig7_10,duckdb_latencies,100,part,nfs,2,
fig7_10,duckdb_latencies,100,part,local,1,
fig7_10,duckdb_latencies,100,part,local,2,
fig7_10,duckdb_latencies,100,supplier,nfs,1,137.546
fig7_10,duckdb_latencies,100,supplier,nfs,2,137.514
fig7_10,duckdb_latencies,100,supplier,local,1,29.419
fig7_10,duckdb_latencies,100,supplier,local,2,29.394
fig9,duckdb_distinct,100,C-0,nfs,1,12.510
fig9,duckdb_distinct,100,C-0,nfs,2,12.465
fig9,duckdb_distinct,100,C-0,local,1,2.119
fig9,duckdb_distinct,100,C-0,local,2,2.118
fig9,duckdb_where,100,C-1,nfs,1,137.358
fig9,duckdb_where,100,C-1,nfs,2,137.366
fig9,duckdb_where,100,C-1,local,1,6.157
fig9,duckdb_where,100,C-1,local,2,6.179
fig8,duckdb_ms,100,selfjoin_orderkey_v113,nfs,1,21.042
fig8,duckdb_ms,100,selfjoin_orderkey_v113,nfs,2,21.072
fig8,duckdb_ms,100,selfjoin_orderkey_v113,local,1,11.002
fig8,duckdb_ms,100,selfjoin_orderkey_v113,local,2,10.998
fig8,duckdb_ms,100,selfjoin_orderkey,local,1,14.834
fig8,duckdb_ms,100,selfjoin_orderkey,local,2,14.786
fig7_10,duckdb_latencies,100,part,nfs,1,137.863
