query,run,seconds
Q1.1,1,0.478863267
Q1.1,2,0.147602517
Q1.1,3,0.146471662
Q1.1,4,0.145163341
Q1.1,5,0.149461464
Q1.2,1,0.360442708
Q1.2,2,0.095236379
Q1.2,3,0.094761733
Q1.2,4,0.092148006
Q1.2,5,0.093376727
Q1.3,1,0.35896841
Q1.3,2,0.093484318
Q1.3,3,0.092830413
Q1.3,4,0.093269828
Q1.3,5,0.102979439
Q2.1,1,0.873757671
Q2.1,2,0.364007956
Q2.1,3,0.347229119
Q2.1,4,0.299115039
Q2.1,5,0.302455686
Q2.2,1,0.625255881
Q2.2,2,0.297818042
Q2.2,3,0.299152641
Q2.2,4,0.268802273
Q2.2,5,0.270118927
Q2.3,1,0.695399265
Q2.3,2,0.293280335
Q2.3,3,0.322756403
Q2.3,4,0.301594279
Q2.3,5,0.290535795
Q3.1,1,1.68783671
Q3.1,2,0.808896159
Q3.1,3,0.767860826
Q3.1,4,0.736839517
Q3.1,5,0.717443509
Q3.2,1,1.034392175
Q3.2,2,0.549497133
Q3.2,3,0.525212289
Q3.2,4,0.50113609
Q3.2,5,0.476635413
Q3.3,1,1.059749662
Q3.3,2,0.600815036
Q3.3,3,0.522189454
Q3.3,4,0.478628425
Q3.3,5,0.489183931
Q3.4,1,0.47227898
Q3.4,2,0.169957022
Q3.4,3,0.160890759
Q3.4,4,0.166560131
Q3.4,5,0.169634811
Q4.1,1,1.125119385
Q4.1,2,0.718088867
Q4.1,3,0.675286955
Q4.1,4,0.674357489
Q4.1,5,0.614697736
Q4.2,1,1.094539863
Q4.2,2,0.598273139
Q4.2,3,0.554321188
Q4.2,4,0.467892202
Q4.2,5,0.460055869
Q4.3,1,0.544189125
Q4.3,2,0.393242116
Q4.3,3,0.360268308
Q4.3,4,0.394123817
Q4.3,5,0.358969697
