query,run,seconds
Q1.1,1,0.449
Q1.1,2,0.145
Q1.1,3,0.144
Q1.1,4,0.145
Q1.1,5,0.147
Q1.2,1,0.135
Q1.2,2,0.092
Q1.2,3,0.092
Q1.2,4,0.093
Q1.2,5,0.094
Q1.3,1,0.134
Q1.3,2,0.091
Q1.3,3,0.090
Q1.3,4,0.092
Q1.3,5,0.088
Q2.1,1,0.695
Q2.1,2,0.323
Q2.1,3,0.312
Q2.1,4,0.294
Q2.1,5,0.287
Q2.2,1,0.470
Q2.2,2,0.277
Q2.2,3,0.279
Q2.2,4,0.270
Q2.2,5,0.268
Q2.3,1,0.421
Q2.3,2,0.293
Q2.3,3,0.301
Q2.3,4,0.304
Q2.3,5,0.268
Q3.1,1,1.000
Q3.1,2,0.733
Q3.1,3,0.719
Q3.1,4,0.716
Q3.1,5,0.710
Q3.2,1,0.704
Q3.2,2,0.546
Q3.2,3,0.508
Q3.2,4,0.456
Q3.2,5,0.454
Q3.3,1,0.746
Q3.3,2,0.541
Q3.3,3,0.504
Q3.3,4,0.482
Q3.3,5,0.494
Q3.4,1,0.348
Q3.4,2,0.189
Q3.4,3,0.169
Q3.4,4,0.181
Q3.4,5,0.173
Q4.1,1,0.853
Q4.1,2,0.692
Q4.1,3,0.653
Q4.1,4,0.631
Q4.1,5,1.018
Q4.2,1,0.867
Q4.2,2,0.587
Q4.2,3,0.489
Q4.2,4,0.462
Q4.2,5,0.606
Q4.3,1,0.468
Q4.3,2,0.347
Q4.3,3,0.376
Q4.3,4,0.331
Q4.3,5,0.350
