sf,column,series,storage,rep,seconds
1,C-0,distinct,nfs,1,0.230
1,C-0,distinct,nfs,2,0.171
1,C-0,distinct,local,1,0.055
1,C-0,distinct,local,2,0.045
1,C-0,where,nfs,1,0.210
1,C-0,where,nfs,2,0.041
1,C-0,where,local,1,0.005
1,C-0,where,local,2,0.005
1,C-1,distinct,nfs,1,0.115
1,C-1,distinct,nfs,2,0.115
1,C-1,distinct,local,1,0.017
1,C-1,distinct,local,2,0.016
1,C-1,where,nfs,1,1.549
1,C-1,where,nfs,2,1.498
1,C-1,where,local,1,0.117
1,C-1,where,local,2,0.163
1,C-2,distinct,nfs,1,0.125
1,C-2,distinct,nfs,2,0.124
1,C-2,distinct,local,1,0.023
1,C-2,distinct,local,2,0.022
1,C-2,where,nfs,1,1.137
1,C-2,where,nfs,2,1.139
1,C-2,where,local,1,0.024
1,C-2,where,local,2,0.024
1,C-3,distinct,nfs,1,0.263
1,C-3,distinct,nfs,2,0.262
1,C-3,distinct,local,1,0.056
1,C-3,distinct,local,2,0.043
1,C-3,where,nfs,1,0.732
1,C-3,where,nfs,2,0.733
1,C-3,where,local,1,0.016
1,C-3,where,local,2,0.017
1,C-4,distinct,nfs,1,0.116
1,C-4,distinct,nfs,2,0.118
1,C-4,distinct,local,1,0.020
1,C-4,distinct,local,2,0.018
1,C-4,where,nfs,1,1.361
1,C-4,where,nfs,2,1.362
1,C-4,where,local,1,0.035
1,C-4,where,local,2,0.035
1,C-5,distinct,nfs,1,0.124
1,C-5,distinct,nfs,2,0.118
1,C-5,distinct,local,1,0.016
1,C-5,distinct,local,2,0.018
1,C-5,where,nfs,1,1.355
1,C-5,where,nfs,2,1.357
1,C-5,where,local,1,0.032
1,C-5,where,local,2,0.033
10,C-0,distinct,nfs,1,1.213
10,C-0,distinct,nfs,2,1.210
10,C-0,distinct,local,1,0.333
10,C-0,distinct,local,2,0.349
10,C-0,where,nfs,1,0.172
10,C-0,where,nfs,2,0.049
10,C-0,where,local,1,0.009
10,C-0,where,local,2,0.008
10,C-1,distinct,nfs,1,0.952
10,C-1,distinct,nfs,2,0.950
10,C-1,distinct,local,1,0.081
10,C-1,distinct,local,2,0.087
10,C-1,where,nfs,1,12.626
10,C-1,where,nfs,2,12.647
10,C-1,where,local,1,1.114
10,C-1,where,local,2,1.149
10,C-2,distinct,nfs,1,1.962
10,C-2,distinct,nfs,2,1.960
10,C-2,distinct,local,1,0.173
10,C-2,distinct,local,2,0.189
10,C-2,where,nfs,1,3.543
10,C-2,where,nfs,2,3.543
10,C-2,where,local,1,0.071
10,C-2,where,local,2,0.070
10,C-3,distinct,nfs,1,2.054
10,C-3,distinct,nfs,2,2.053
10,C-3,distinct,local,1,0.393
10,C-3,distinct,local,2,0.393
10,C-3,where,nfs,1,4.054
10,C-3,where,nfs,2,4.060
10,C-3,where,local,1,0.072
10,C-3,where,local,2,0.074
10,C-4,distinct,nfs,1,0.970
10,C-4,distinct,nfs,2,0.988
10,C-4,distinct,local,1,0.133
10,C-4,distinct,local,2,0.135
10,C-4,where,nfs,1,12.137
10,C-4,where,nfs,2,12.138
10,C-4,where,local,1,0.337
10,C-4,where,local,2,0.348
10,C-5,distinct,nfs,1,0.955
10,C-5,distinct,nfs,2,0.956
10,C-5,distinct,local,1,0.118
10,C-5,distinct,local,2,0.113
10,C-5,where,nfs,1,12.190
10,C-5,where,nfs,2,12.191
10,C-5,where,local,1,0.381
10,C-5,where,local,2,0.327
100,C-0,distinct,nfs,1,12.480
100,C-0,distinct,nfs,2,12.466
100,C-0,distinct,local,1,2.150
100,C-0,distinct,local,2,2.187
100,C-0,where,nfs,1,0.226
100,C-0,where,nfs,2,0.228
100,C-0,where,local,1,0.099
100,C-0,where,local,2,0.099
100,C-1,distinct,nfs,1,11.503
100,C-1,distinct,nfs,2,11.506
100,C-1,distinct,local,1,0.741
100,C-1,distinct,local,2,0.639
100,C-1,where,nfs,1,137.381
100,C-1,where,nfs,2,137.389
100,C-1,where,local,1,6.495
100,C-1,where,local,2,6.321
100,C-2,distinct,nfs,1,23.174
100,C-2,distinct,nfs,2,23.178
100,C-2,distinct,local,1,1.677
100,C-2,distinct,local,2,1.677
100,C-2,where,nfs,1,24.839
100,C-2,where,nfs,2,24.832
100,C-2,where,local,1,0.524
100,C-2,where,local,2,0.539
100,C-3,distinct,nfs,1,23.727
100,C-3,distinct,nfs,2,23.735
100,C-3,distinct,local,1,4.453
100,C-3,distinct,local,2,4.432
100,C-3,where,nfs,1,35.262
100,C-3,where,nfs,2,35.265
100,C-3,where,local,1,0.734
100,C-3,where,local,2,0.705
100,C-4,distinct,nfs,1,19.737
100,C-4,distinct,nfs,2,19.719
100,C-4,distinct,local,1,4.097
100,C-4,distinct,local,2,4.142
100,C-4,where,nfs,1,70.830
100,C-4,where,nfs,2,70.851
100,C-4,where,local,1,2.585
100,C-4,where,local,2,2.627
100,C-5,distinct,nfs,1,11.508
100,C-5,distinct,nfs,2,11.514
100,C-5,distinct,local,1,0.707
100,C-5,distinct,local,2,0.690
100,C-5,where,nfs,1,137.134
100,C-5,where,nfs,2,137.125
100,C-5,where,local,1,5.786
100,C-5,where,local,2,5.935
