figure,series,sf,version,name,rep,seconds,rows
fig7_10,duckdb_latencies,1,v0.8.0,customer,1,0.493,
fig7_10,duckdb_latencies,1,v0.8.0,customer,2,0.493,
fig7_10,duckdb_latencies,1,v0.8.0,customer,3,0.481,
fig7_10,duckdb_latencies,1,v0.8.0,part,1,0.620,
fig7_10,duckdb_latencies,1,v0.8.0,part,2,0.616,
fig7_10,duckdb_latencies,1,v0.8.0,part,3,0.628,
fig7_10,duckdb_latencies,1,v0.8.0,supplier,1,0.414,
fig7_10,duckdb_latencies,1,v0.8.0,supplier,2,0.407,
fig7_10,duckdb_latencies,1,v0.8.0,supplier,3,0.395,
fig7_10,duckdb_latencies,1,v0.8.0,date,1,0.546,
fig7_10,duckdb_latencies,1,v0.8.0,date,2,0.563,
fig7_10,duckdb_latencies,1,v0.8.0,date,3,0.574,
fig8,duckdb_ms,1,v0.8.0,selfjoin_orderkey,1,0.146,30012739
fig8,duckdb_ms,1,v0.8.0,selfjoin_orderkey,2,0.159,30012739
fig8,duckdb_ms,1,v0.8.0,selfjoin_orderkey,3,0.150,30012739
fig9,duckdb_distinct,1,v0.8.0,distinct_orderkey,1,0.127,
fig9,duckdb_distinct,1,v0.8.0,distinct_orderkey,2,0.111,
fig9,duckdb_distinct,1,v0.8.0,distinct_orderkey,3,0.105,
fig9,duckdb_where,1,v0.8.0,where_linenumber_3,1,0.143,
fig9,duckdb_where,1,v0.8.0,where_linenumber_3,2,0.144,
fig9,duckdb_where,1,v0.8.0,where_linenumber_3,3,0.171,
fig1_11,duckdb_cold,1,v0.8.0,Q1.1,1,0.020,445921715901
fig1_11,duckdb_cold,1,v0.8.0,Q1.1,2,0.021,445921715901
fig1_11,duckdb_cold,1,v0.8.0,Q1.1,3,0.020,445921715901
fig1_11,duckdb_cold,1,v0.8.0,Q1.2,1,0.019,97884685311
fig1_11,duckdb_cold,1,v0.8.0,Q1.2,2,0.020,97884685311
fig1_11,duckdb_cold,1,v0.8.0,Q1.2,3,0.022,97884685311
fig1_11,duckdb_cold,1,v0.8.0,Q1.3,1,0.019,110790819844
fig1_11,duckdb_cold,1,v0.8.0,Q1.3,2,0.020,110790819844
fig1_11,duckdb_cold,1,v0.8.0,Q1.3,3,0.019,110790819844
fig1_11,duckdb_cold,1,v0.8.0,Q2.1,1,0.043,592914893
fig1_11,duckdb_cold,1,v0.8.0,Q2.1,2,0.042,592914893
fig1_11,duckdb_cold,1,v0.8.0,Q2.1,3,0.046,592914893
fig1_11,duckdb_cold,1,v0.8.0,Q2.2,1,0.044,735651877
fig1_11,duckdb_cold,1,v0.8.0,Q2.2,2,0.042,735651877
fig1_11,duckdb_cold,1,v0.8.0,Q2.2,3,0.043,735651877
fig1_11,duckdb_cold,1,v0.8.0,Q2.3,1,0.037,697587590
fig1_11,duckdb_cold,1,v0.8.0,Q2.3,2,0.035,697587590
fig1_11,duckdb_cold,1,v0.8.0,Q2.3,3,0.033,697587590
fig1_11,duckdb_cold,1,v0.8.0,Q3.1,1,0.047,150
fig1_11,duckdb_cold,1,v0.8.0,Q3.1,2,0.045,150
fig1_11,duckdb_cold,1,v0.8.0,Q3.1,3,0.043,150
fig1_11,duckdb_cold,1,v0.8.0,Q3.2,1,0.039,600
fig1_11,duckdb_cold,1,v0.8.0,Q3.2,2,0.036,600
fig1_11,duckdb_cold,1,v0.8.0,Q3.2,3,0.037,600
fig1_11,duckdb_cold,1,v0.8.0,Q3.3,1,0.037,24
fig1_11,duckdb_cold,1,v0.8.0,Q3.3,2,0.040,24
fig1_11,duckdb_cold,1,v0.8.0,Q3.3,3,0.036,24
fig1_11,duckdb_cold,1,v0.8.0,Q3.4,1,0.029,
fig1_11,duckdb_cold,1,v0.8.0,Q3.4,2,0.027,
fig1_11,duckdb_cold,1,v0.8.0,Q3.4,3,0.028,
fig1_11,duckdb_cold,1,v0.8.0,Q4.1,1,0.075,1992
fig1_11,duckdb_cold,1,v0.8.0,Q4.1,2,0.063,1992
fig1_11,duckdb_cold,1,v0.8.0,Q4.1,3,0.070,1992
fig1_11,duckdb_cold,1,v0.8.0,Q4.2,1,0.072,1997
fig1_11,duckdb_cold,1,v0.8.0,Q4.2,2,0.085,1997
fig1_11,duckdb_cold,1,v0.8.0,Q4.2,3,0.077,1997
fig1_11,duckdb_cold,1,v0.8.0,Q4.3,1,0.052,1997
fig1_11,duckdb_cold,1,v0.8.0,Q4.3,2,0.055,1997
fig1_11,duckdb_cold,1,v0.8.0,Q4.3,3,0.052,1997
fig1_11,duckdb_warm,1,v0.8.0,Q1.1,1,0.014,
fig1_11,duckdb_warm,1,v0.8.0,Q1.1,2,0.013,
fig1_11,duckdb_warm,1,v0.8.0,Q1.1,3,0.010,
fig1_11,duckdb_warm,1,v0.8.0,Q1.2,1,0.013,
fig1_11,duckdb_warm,1,v0.8.0,Q1.2,2,0.011,
fig1_11,duckdb_warm,1,v0.8.0,Q1.2,3,0.013,
fig1_11,duckdb_warm,1,v0.8.0,Q1.3,1,0.012,
fig1_11,duckdb_warm,1,v0.8.0,Q1.3,2,0.013,
fig1_11,duckdb_warm,1,v0.8.0,Q1.3,3,0.009,
fig1_11,duckdb_warm,1,v0.8.0,Q2.1,1,0.028,
fig1_11,duckdb_warm,1,v0.8.0,Q2.1,2,0.031,
fig1_11,duckdb_warm,1,v0.8.0,Q2.1,3,0.025,
fig1_11,duckdb_warm,1,v0.8.0,Q2.2,1,0.029,
fig1_11,duckdb_warm,1,v0.8.0,Q2.2,2,0.029,
fig1_11,duckdb_warm,1,v0.8.0,Q2.2,3,0.028,
fig1_11,duckdb_warm,1,v0.8.0,Q2.3,1,0.019,
fig1_11,duckdb_warm,1,v0.8.0,Q2.3,2,0.022,
fig1_11,duckdb_warm,1,v0.8.0,Q2.3,3,0.024,
fig1_11,duckdb_warm,1,v0.8.0,Q3.1,1,0.032,
fig1_11,duckdb_warm,1,v0.8.0,Q3.1,2,0.035,
fig1_11,duckdb_warm,1,v0.8.0,Q3.1,3,0.030,
fig1_11,duckdb_warm,1,v0.8.0,Q3.2,1,0.026,
fig1_11,duckdb_warm,1,v0.8.0,Q3.2,2,0.023,
fig1_11,duckdb_warm,1,v0.8.0,Q3.2,3,0.020,
fig1_11,duckdb_warm,1,v0.8.0,Q3.3,1,0.022,
fig1_11,duckdb_warm,1,v0.8.0,Q3.3,2,0.022,
fig1_11,duckdb_warm,1,v0.8.0,Q3.3,3,0.020,
fig1_11,duckdb_warm,1,v0.8.0,Q3.4,1,0.015,
fig1_11,duckdb_warm,1,v0.8.0,Q3.4,2,0.011,
fig1_11,duckdb_warm,1,v0.8.0,Q3.4,3,0.011,
fig1_11,duckdb_warm,1,v0.8.0,Q4.1,1,0.049,
fig1_11,duckdb_warm,1,v0.8.0,Q4.1,2,0.048,
fig1_11,duckdb_warm,1,v0.8.0,Q4.1,3,0.047,
fig1_11,duckdb_warm,1,v0.8.0,Q4.2,1,0.051,
fig1_11,duckdb_warm,1,v0.8.0,Q4.2,2,0.050,
fig1_11,duckdb_warm,1,v0.8.0,Q4.2,3,0.052,
fig1_11,duckdb_warm,1,v0.8.0,Q4.3,1,0.032,
fig1_11,duckdb_warm,1,v0.8.0,Q4.3,2,0.042,
fig1_11,duckdb_warm,1,v0.8.0,Q4.3,3,0.034,
fig7_10,duckdb_latencies,1,v1.1.3,customer,1,0.389,
fig7_10,duckdb_latencies,1,v1.1.3,customer,2,0.402,
fig7_10,duckdb_latencies,1,v1.1.3,customer,3,0.412,
fig7_10,duckdb_latencies,1,v1.1.3,part,1,0.538,
fig7_10,duckdb_latencies,1,v1.1.3,part,2,0.528,
fig7_10,duckdb_latencies,1,v1.1.3,part,3,0.528,
fig7_10,duckdb_latencies,1,v1.1.3,supplier,1,0.341,
fig7_10,duckdb_latencies,1,v1.1.3,supplier,2,0.340,
fig7_10,duckdb_latencies,1,v1.1.3,supplier,3,0.335,
fig7_10,duckdb_latencies,1,v1.1.3,date,1,0.457,
fig7_10,duckdb_latencies,1,v1.1.3,date,2,0.456,
fig7_10,duckdb_latencies,1,v1.1.3,date,3,0.454,
fig8,duckdb_ms,1,v1.1.3,selfjoin_orderkey,1,0.130,30012739
fig8,duckdb_ms,1,v1.1.3,selfjoin_orderkey,2,0.127,30012739
fig8,duckdb_ms,1,v1.1.3,selfjoin_orderkey,3,0.131,30012739
fig9,duckdb_distinct,1,v1.1.3,distinct_orderkey,1,0.044,
fig9,duckdb_distinct,1,v1.1.3,distinct_orderkey,2,0.047,
fig9,duckdb_distinct,1,v1.1.3,distinct_orderkey,3,0.049,
fig9,duckdb_where,1,v1.1.3,where_linenumber_3,1,0.138,
fig9,duckdb_where,1,v1.1.3,where_linenumber_3,2,0.151,
fig9,duckdb_where,1,v1.1.3,where_linenumber_3,3,0.146,
fig1_11,duckdb_cold,1,v1.1.3,Q1.1,1,0.016,445921715901
fig1_11,duckdb_cold,1,v1.1.3,Q1.1,2,0.015,445921715901
fig1_11,duckdb_cold,1,v1.1.3,Q1.1,3,0.014,445921715901
fig1_11,duckdb_cold,1,v1.1.3,Q1.2,1,0.013,97884685311
fig1_11,duckdb_cold,1,v1.1.3,Q1.2,2,0.014,97884685311
fig1_11,duckdb_cold,1,v1.1.3,Q1.2,3,0.014,97884685311
fig1_11,duckdb_cold,1,v1.1.3,Q1.3,1,0.014,110790819844
fig1_11,duckdb_cold,1,v1.1.3,Q1.3,2,0.013,110790819844
fig1_11,duckdb_cold,1,v1.1.3,Q1.3,3,0.013,110790819844
fig1_11,duckdb_cold,1,v1.1.3,Q2.1,1,0.041,592914893
fig1_11,duckdb_cold,1,v1.1.3,Q2.1,2,0.050,592914893
fig1_11,duckdb_cold,1,v1.1.3,Q2.1,3,0.048,592914893
fig1_11,duckdb_cold,1,v1.1.3,Q2.2,1,0.048,735651877
fig1_11,duckdb_cold,1,v1.1.3,Q2.2,2,0.043,735651877
fig1_11,duckdb_cold,1,v1.1.3,Q2.2,3,0.046,735651877
fig1_11,duckdb_cold,1,v1.1.3,Q2.3,1,0.032,697587590
fig1_11,duckdb_cold,1,v1.1.3,Q2.3,2,0.030,697587590
fig1_11,duckdb_cold,1,v1.1.3,Q2.3,3,0.029,697587590
fig1_11,duckdb_cold,1,v1.1.3,Q3.1,1,0.046,150
fig1_11,duckdb_cold,1,v1.1.3,Q3.1,2,0.041,150
fig1_11,duckdb_cold,1,v1.1.3,Q3.1,3,0.044,150
fig1_11,duckdb_cold,1,v1.1.3,Q3.2,1,0.042,600
fig1_11,duckdb_cold,1,v1.1.3,Q3.2,2,0.038,600
fig1_11,duckdb_cold,1,v1.1.3,Q3.2,3,0.037,600
fig1_11,duckdb_cold,1,v1.1.3,Q3.3,1,0.037,24
fig1_11,duckdb_cold,1,v1.1.3,Q3.3,2,0.039,24
fig1_11,duckdb_cold,1,v1.1.3,Q3.3,3,0.039,24
fig1_11,duckdb_cold,1,v1.1.3,Q3.4,1,0.028,
fig1_11,duckdb_cold,1,v1.1.3,Q3.4,2,0.030,
fig1_11,duckdb_cold,1,v1.1.3,Q3.4,3,0.033,
fig1_11,duckdb_cold,1,v1.1.3,Q4.1,1,0.053,1992
fig1_11,duckdb_cold,1,v1.1.3,Q4.1,2,0.062,1992
fig1_11,duckdb_cold,1,v1.1.3,Q4.1,3,0.054,1992
fig1_11,duckdb_cold,1,v1.1.3,Q4.2,1,0.063,1997
fig1_11,duckdb_cold,1,v1.1.3,Q4.2,2,0.070,1997
fig1_11,duckdb_cold,1,v1.1.3,Q4.2,3,0.062,1997
fig1_11,duckdb_cold,1,v1.1.3,Q4.3,1,0.053,1997
fig1_11,duckdb_cold,1,v1.1.3,Q4.3,2,0.046,1997
fig1_11,duckdb_cold,1,v1.1.3,Q4.3,3,0.052,1997
fig1_11,duckdb_warm,1,v1.1.3,Q1.1,1,0.010,
fig1_11,duckdb_warm,1,v1.1.3,Q1.1,2,0.006,
fig1_11,duckdb_warm,1,v1.1.3,Q1.1,3,0.005,
fig1_11,duckdb_warm,1,v1.1.3,Q1.2,1,0.008,
fig1_11,duckdb_warm,1,v1.1.3,Q1.2,2,0.006,
fig1_11,duckdb_warm,1,v1.1.3,Q1.2,3,0.005,
fig1_11,duckdb_warm,1,v1.1.3,Q1.3,1,0.008,
fig1_11,duckdb_warm,1,v1.1.3,Q1.3,2,0.006,
fig1_11,duckdb_warm,1,v1.1.3,Q1.3,3,0.005,
fig1_11,duckdb_warm,1,v1.1.3,Q2.1,1,0.033,
fig1_11,duckdb_warm,1,v1.1.3,Q2.1,2,0.031,
fig1_11,duckdb_warm,1,v1.1.3,Q2.1,3,0.034,
fig1_11,duckdb_warm,1,v1.1.3,Q2.2,1,0.042,
fig1_11,duckdb_warm,1,v1.1.3,Q2.2,2,0.038,
fig1_11,duckdb_warm,1,v1.1.3,Q2.2,3,0.031,
fig1_11,duckdb_warm,1,v1.1.3,Q2.3,1,0.023,
fig1_11,duckdb_warm,1,v1.1.3,Q2.3,2,0.027,
fig1_11,duckdb_warm,1,v1.1.3,Q2.3,3,0.030,
fig1_11,duckdb_warm,1,v1.1.3,Q3.1,1,0.040,
fig1_11,duckdb_warm,1,v1.1.3,Q3.1,2,0.040,
fig1_11,duckdb_warm,1,v1.1.3,Q3.1,3,0.038,
fig1_11,duckdb_warm,1,v1.1.3,Q3.2,1,0.033,
fig1_11,duckdb_warm,1,v1.1.3,Q3.2,2,0.031,
fig1_11,duckdb_warm,1,v1.1.3,Q3.2,3,0.026,
fig1_11,duckdb_warm,1,v1.1.3,Q3.3,1,0.026,
fig1_11,duckdb_warm,1,v1.1.3,Q3.3,2,0.028,
fig1_11,duckdb_warm,1,v1.1.3,Q3.3,3,0.023,
fig1_11,duckdb_warm,1,v1.1.3,Q3.4,1,0.016,
fig1_11,duckdb_warm,1,v1.1.3,Q3.4,2,0.023,
fig1_11,duckdb_warm,1,v1.1.3,Q3.4,3,0.019,
fig1_11,duckdb_warm,1,v1.1.3,Q4.1,1,0.059,
fig1_11,duckdb_warm,1,v1.1.3,Q4.1,2,0.057,
fig1_11,duckdb_warm,1,v1.1.3,Q4.1,3,0.047,
fig1_11,duckdb_warm,1,v1.1.3,Q4.2,1,0.062,
fig1_11,duckdb_warm,1,v1.1.3,Q4.2,2,0.053,
fig1_11,duckdb_warm,1,v1.1.3,Q4.2,3,0.052,
fig1_11,duckdb_warm,1,v1.1.3,Q4.3,1,0.041,
fig1_11,duckdb_warm,1,v1.1.3,Q4.3,2,0.042,
fig1_11,duckdb_warm,1,v1.1.3,Q4.3,3,0.037,
fig7_10,duckdb_latencies,10,v0.8.0,customer,1,4.039,
fig7_10,duckdb_latencies,10,v0.8.0,customer,2,3.970,
fig7_10,duckdb_latencies,10,v0.8.0,customer,3,3.947,
fig7_10,duckdb_latencies,10,v0.8.0,part,1,4.503,
fig7_10,duckdb_latencies,10,v0.8.0,part,2,4.500,
fig7_10,duckdb_latencies,10,v0.8.0,part,3,4.448,
fig7_10,duckdb_latencies,10,v0.8.0,supplier,1,3.762,
fig7_10,duckdb_latencies,10,v0.8.0,supplier,2,3.730,
fig7_10,duckdb_latencies,10,v0.8.0,supplier,3,3.686,
fig7_10,duckdb_latencies,10,v0.8.0,date,1,4.733,
fig7_10,duckdb_latencies,10,v0.8.0,date,2,4.740,
fig7_10,duckdb_latencies,10,v0.8.0,date,3,4.765,
fig8,duckdb_ms,10,v0.8.0,selfjoin_orderkey,1,1.080,299884083
fig8,duckdb_ms,10,v0.8.0,selfjoin_orderkey,2,1.065,299884083
fig8,duckdb_ms,10,v0.8.0,selfjoin_orderkey,3,1.065,299884083
fig9,duckdb_distinct,10,v0.8.0,distinct_orderkey,1,0.647,
fig9,duckdb_distinct,10,v0.8.0,distinct_orderkey,2,0.605,
fig9,duckdb_distinct,10,v0.8.0,distinct_orderkey,3,0.642,
fig9,duckdb_where,10,v0.8.0,where_linenumber_3,1,2.125,
fig9,duckdb_where,10,v0.8.0,where_linenumber_3,2,2.201,
fig9,duckdb_where,10,v0.8.0,where_linenumber_3,3,2.105,
fig1_11,duckdb_cold,10,v0.8.0,Q1.1,1,0.168,4474878955766
fig1_11,duckdb_cold,10,v0.8.0,Q1.1,2,0.158,4474878955766
fig1_11,duckdb_cold,10,v0.8.0,Q1.1,3,0.157,4474878955766
fig1_11,duckdb_cold,10,v0.8.0,Q1.2,1,0.182,962506157441
fig1_11,duckdb_cold,10,v0.8.0,Q1.2,2,0.171,962506157441
fig1_11,duckdb_cold,10,v0.8.0,Q1.2,3,0.165,962506157441
fig1_11,duckdb_cold,10,v0.8.0,Q1.3,1,0.172,1120078979631
fig1_11,duckdb_cold,10,v0.8.0,Q1.3,2,0.189,1120078979631
fig1_11,duckdb_cold,10,v0.8.0,Q1.3,3,0.150,1120078979631
fig1_11,duckdb_cold,10,v0.8.0,Q2.1,1,0.301,6902779552
fig1_11,duckdb_cold,10,v0.8.0,Q2.1,2,0.361,6902779552
fig1_11,duckdb_cold,10,v0.8.0,Q2.1,3,0.318,6902779552
fig1_11,duckdb_cold,10,v0.8.0,Q2.2,1,0.351,7117736051
fig1_11,duckdb_cold,10,v0.8.0,Q2.2,2,0.265,7117736051
fig1_11,duckdb_cold,10,v0.8.0,Q2.2,3,0.275,7117736051
fig1_11,duckdb_cold,10,v0.8.0,Q2.3,1,0.254,6858483256
fig1_11,duckdb_cold,10,v0.8.0,Q2.3,2,0.299,6858483256
