figure,series,sf,version,name,rep,seconds,rows
fig7_10,duckdb_latencies,1,v0.8.0,customer,1,0.504,
fig7_10,duckdb_latencies,1,v0.8.0,customer,2,0.484,
fig7_10,duckdb_latencies,1,v0.8.0,customer,3,0.472,
fig7_10,duckdb_latencies,1,v0.8.0,part,1,0.785,
fig7_10,duckdb_latencies,1,v0.8.0,part,2,0.791,
fig7_10,duckdb_latencies,1,v0.8.0,part,3,0.801,
fig7_10,duckdb_latencies,1,v0.8.0,supplier,1,0.406,
fig7_10,duckdb_latencies,1,v0.8.0,supplier,2,0.404,
fig7_10,duckdb_latencies,1,v0.8.0,supplier,3,0.422,
fig7_10,duckdb_latencies,1,v0.8.0,date,1,,ERROR_BIGINT_TO_DATE
fig7_10,duckdb_latencies,1,v0.8.0,date,2,,ERROR_BIGINT_TO_DATE
fig7_10,duckdb_latencies,1,v0.8.0,date,3,,ERROR_BIGINT_TO_DATE
fig8,duckdb_ms,1,v0.8.0,selfjoin_orderkey,1,0.137,30012723
fig8,duckdb_ms,1,v0.8.0,selfjoin_orderkey,2,0.149,30012723
fig8,duckdb_ms,1,v0.8.0,selfjoin_orderkey,3,0.158,30012723
fig9,duckdb_distinct,1,v0.8.0,distinct_orderkey,1,0.103,
fig9,duckdb_distinct,1,v0.8.0,distinct_orderkey,2,0.123,
fig9,duckdb_distinct,1,v0.8.0,distinct_orderkey,3,0.129,
fig9,duckdb_where,1,v0.8.0,where_linenumber_3,1,0.148,
fig9,duckdb_where,1,v0.8.0,where_linenumber_3,2,0.144,
fig9,duckdb_where,1,v0.8.0,where_linenumber_3,3,0.153,
fig1_11,duckdb_cold,1,v0.8.0,Q1.1,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q1.1,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q1.1,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q1.2,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q1.2,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q1.2,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q1.3,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q1.3,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q1.3,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q2.1,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q2.1,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q2.1,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q2.2,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q2.2,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q2.2,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q2.3,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q2.3,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q2.3,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q3.1,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q3.1,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q3.1,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q3.2,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q3.2,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q3.2,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q3.3,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q3.3,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q3.3,3,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q3.4,1,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q3.4,2,,ERROR_BIGINT_TO_DATE
fig1_11,duckdb_cold,1,v0.8.0,Q3.4,3,,ERROR_BIGINT_TO_DATE
