figure,series,sf,name,version,storage,rep,seconds
fig7_10,duckdb_latencies,100,customer,v0.8.0,local,1,38.668
fig7_10,duckdb_latencies,100,customer,v0.8.0,local,2,38.755
fig7_10,duckdb_latencies,100,part,v0.8.0,local,1,41.765
fig7_10,duckdb_latencies,100,part,v0.8.0,local,2,41.824
fig7_10,duckdb_latencies,100,supplier,v0.8.0,local,1,38.628
fig7_10,duckdb_latencies,100,supplier,v0.8.0,local,2,38.671
fig7_10,duckdb_latencies,100,date,v0.8.0,local,1,44.977
fig7_10,duckdb_latencies,100,date,v0.8.0,local,2,44.848
fig9,duckdb_distinct,100,C-0,v0.8.0,local,1,5.423
fig9,duckdb_distinct,100,C-0,v0.8.0,local,2,5.430
fig9,duckdb_where,100,C-0,v0.8.0,local,1,0.076
fig9,duckdb_where,100,C-0,v0.8.0,local,2,0.069
fig9,duckdb_distinct,100,C-1,v0.8.0,local,1,0.608
fig9,duckdb_distinct,100,C-1,v0.8.0,local,2,0.585
fig9,duckdb_where,100,C-1,v0.8.0,local,1,13.825
fig9,duckdb_where,100,C-1,v0.8.0,local,2,14.261
fig9,duckdb_distinct,100,C-2,v0.8.0,local,1,4.199
fig9,duckdb_distinct,100,C-2,v0.8.0,local,2,4.237
fig9,duckdb_where,100,C-2,v0.8.0,local,1,1.210
fig9,duckdb_where,100,C-2,v0.8.0,local,2,1.370
fig9,duckdb_distinct,100,C-3,v0.8.0,local,1,4.394
fig9,duckdb_distinct,100,C-3,v0.8.0,local,2,4.420
fig9,duckdb_where,100,C-3,v0.8.0,local,1,1.499
fig9,duckdb_where,100,C-3,v0.8.0,local,2,1.648
fig9,duckdb_distinct,100,C-4,v0.8.0,local,1,3.150
fig9,duckdb_distinct,100,C-4,v0.8.0,local,2,3.015
fig9,duckdb_where,100,C-4,v0.8.0,local,1,3.711
fig9,duckdb_where,100,C-4,v0.8.0,local,2,3.707
fig9,duckdb_distinct,100,C-5,v0.8.0,local,1,0.651
fig9,duckdb_distinct,100,C-5,v0.8.0,local,2,0.636
fig9,duckdb_where,100,C-5,v0.8.0,local,1,6.933
fig9,duckdb_where,100,C-5,v0.8.0,local,2,6.855
fig9,duckdb_distinct,1,C-2,v0.8.0,local,1,0.081
fig9,duckdb_distinct,1,C-2,v0.8.0,local,2,0.075
fig9,duckdb_where,1,C-2,v0.8.0,local,1,0.037
fig9,duckdb_where,1,C-2,v0.8.0,local,2,0.039
fig9,duckdb_distinct,1,C-3,v0.8.0,local,1,0.124
fig9,duckdb_distinct,1,C-3,v0.8.0,local,2,0.134
fig9,duckdb_where,1,C-3,v0.8.0,local,1,0.028
fig9,duckdb_where,1,C-3,v0.8.0,local,2,0.026
fig9,duckdb_distinct,1,C-4,v0.8.0,local,1,0.020
fig9,duckdb_distinct,1,C-4,v0.8.0,local,2,0.021
fig9,duckdb_where,1,C-4,v0.8.0,local,1,0.049
fig9,duckdb_where,1,C-4,v0.8.0,local,2,0.050
fig9,duckdb_distinct,1,C-5,v0.8.0,local,1,0.025
fig9,duckdb_distinct,1,C-5,v0.8.0,local,2,0.022
fig9,duckdb_where,1,C-5,v0.8.0,local,1,0.046
fig9,duckdb_where,1,C-5,v0.8.0,local,2,0.054
fig9,duckdb_distinct,10,C-2,v0.8.0,local,1,0.467
fig9,duckdb_distinct,10,C-2,v0.8.0,local,2,0.438
fig9,duckdb_where,10,C-2,v0.8.0,local,1,0.131
fig9,duckdb_where,10,C-2,v0.8.0,local,2,0.124
fig9,duckdb_distinct,10,C-3,v0.8.0,local,1,0.817
fig9,duckdb_distinct,10,C-3,v0.8.0,local,2,0.858
fig9,duckdb_where,10,C-3,v0.8.0,local,1,0.138
fig9,duckdb_where,10,C-3,v0.8.0,local,2,0.137
fig9,duckdb_distinct,10,C-4,v0.8.0,local,1,0.256
fig9,duckdb_distinct,10,C-4,v0.8.0,local,2,0.260
fig9,duckdb_where,10,C-4,v0.8.0,local,1,0.470
fig9,duckdb_where,10,C-4,v0.8.0,local,2,0.447
fig9,duckdb_distinct,10,C-5,v0.8.0,local,1,0.125
fig9,duckdb_distinct,10,C-5,v0.8.0,local,2,0.118
fig9,duckdb_where,10,C-5,v0.8.0,local,1,0.502
fig9,duckdb_where,10,C-5,v0.8.0,local,2,0.432
fig9,duckdb_distinct,1,C-1,v0.8.0,local,1,0.049
fig9,duckdb_distinct,1,C-1,v0.8.0,local,2,0.018
fig9,duckdb_where,1,C-0,v0.8.0,local,1,0.008
fig9,duckdb_where,1,C-0,v0.8.0,local,2,0.008
fig9,duckdb_distinct,10,C-1,v0.8.0,local,1,0.105
fig9,duckdb_distinct,10,C-1,v0.8.0,local,2,0.095
fig9,duckdb_where,10,C-0,v0.8.0,local,1,0.018
fig9,duckdb_where,10,C-0,v0.8.0,local,2,0.017
