sf,name,mode,rep,seconds
1,customer,free,1,0.423
1,customer,free,2,0.404
1,customer,free,3,0.414
1,part,free,1,0.545
1,part,free,2,0.541
1,part,free,3,0.541
1,supplier,free,1,0.351
1,supplier,free,2,0.349
1,supplier,free,3,0.353
10,customer,free,1,1.768
10,customer,free,2,1.791
10,customer,free,3,1.795
10,part,free,1,2.012
10,part,free,2,2.009
10,part,free,3,2.016
10,supplier,free,1,1.410
10,supplier,free,2,1.432
10,supplier,free,3,1.439
100,customer,free,1,13.690
100,customer,free,2,13.817
100,supplier,free,1,15.276
100,supplier,free,2,15.218
100,part,free,1,17.343
100,part,free,2,17.348
