sf,name,mode,rep,seconds
1,customer,free,1,0.491
1,customer,mem1,1,0.436
1,customer,pin1,1,0.449
1,customer,free,2,0.408
1,customer,mem1,2,0.413
1,customer,pin1,2,0.406
1,part,free,1,0.560
1,part,mem1,1,0.554
1,part,pin1,1,0.545
1,part,free,2,0.547
1,part,mem1,2,0.549
1,part,pin1,2,0.548
1,supplier,free,1,0.351
1,supplier,mem1,1,0.351
1,supplier,pin1,1,0.352
1,supplier,free,2,0.359
1,supplier,mem1,2,0.360
1,supplier,pin1,2,0.357
10,customer,free,1,1.783
10,customer,mem1,1,1.863
10,customer,pin1,1,3.174
10,customer,free,2,1.765
10,customer,mem1,2,1.831
10,customer,pin1,2,3.223
10,part,free,1,2.025
10,part,mem1,1,2.147
10,part,pin1,1,3.317
10,part,free,2,2.040
10,part,mem1,2,2.136
10,part,pin1,2,3.296
10,supplier,free,1,1.451
10,supplier,mem1,1,1.457
10,supplier,pin1,1,2.671
10,supplier,free,2,1.426
10,supplier,mem1,2,1.481
10,supplier,pin1,2,2.710
