sf,table,paper_ms,orig_sf_dependent_ms,uniform_as_is_ms,uniform_loadfixed_median_ms,loadfixed_over_paper,loadfixed_spread_pct,reps,speedup_paper_x8,speedup_fixed_x8,speedup_fixed_x16
1,customer,169.4,171.0,4848.5,153.5,0.906,22.9,3,228,206,253
1,part,190.1,81.5,223.5,238.3,1.254,6.6,3,177,221,242
1,supplier,73.8,70.2,116.9,114.7,1.555,14.2,3,76,118,216
1,date,75.4,68.2,119.2,124.5,1.652,15.7,3,99,163,
10,customer,1890.0,2378.0,54755.8,1294.1,0.685,1.9,3,223,153,167
10,part,1830.2,1698.5,1579.5,1562.2,0.854,1.7,3,148,126,95
10,supplier,1823.2,1722.1,1645.1,1665.8,0.914,9.5,3,195,178,216
10,date,1947.7,1940.7,1278.5,1704.1,0.875,10.4,3,255,223,
100,customer,65034.5,215682.6,301130.5,76102.6,1.17,12.2,3,871,1019,1253
100,part,53258.7,64478.0,63692.4,58814.9,1.104,20.9,3,526,581,665
100,supplier,53202.0,59156.1,73754.0,61521.1,1.156,10.7,3,525,607,693
100,date,56112.3,76270.9,66284.4,72252.1,1.288,11.3,3,734,945,
