query,run,seconds,cpu_time,join_share,peak_note
Q1.1,1,0.767478,,0.401162183816456,0
Q1.1,2,0.140307,,0.23488620382467004,0
Q1.1,3,0.136891,,0.23304088437044762,0
Q1.1,4,0.136264,,0.23248233507465854,0
Q1.1,5,0.135257,,0.2362797879476737,0
Q1.2,1,0.132606,,0.14607776082863258,0
Q1.2,2,0.132166,,0.14692528226187768,0
Q1.2,3,0.132992,,0.14518766997667845,0
Q1.2,4,0.132486,,0.1491791814356523,0
Q1.2,5,0.135242,,0.14810768748527756,0
Q1.3,1,0.133769,,0.14775875207143696,0
Q1.3,2,0.1342,,0.14626143149224907,0
Q1.3,3,0.133644,,0.14700635513430665,0
Q1.3,4,0.133732,,0.14397368575467087,0
Q1.3,5,0.132845,,0.14628737872315012,0
Q2.1,1,0.502408,,0.8751334896497412,0
Q2.1,2,0.16975,,0.8127443919183686,0
Q2.1,3,0.161596,,0.8127928370282169,0
Q2.1,4,0.158511,,0.8045356955858671,0
Q2.1,5,0.155847,,0.8109315080520508,0
Q2.2,1,0.165512,,0.8482142268777014,0
Q2.2,2,0.150636,,0.8436430605817123,0
Q2.2,3,0.165006,,0.8475958367085171,0
Q2.2,4,0.166768,,0.8464701713103956,0
Q2.2,5,0.153643,,0.8425882779102029,0
Q2.3,1,0.112003,,0.8058111907262194,0
Q2.3,2,0.116896,,0.8130703038682767,0
Q2.3,3,0.106341,,0.8052949635290607,0
Q2.3,4,0.111052,,0.8075414374007547,0
Q2.3,5,0.117249,,0.8143295928694076,0
Q3.1,1,0.423221,,0.8155520929057671,0
Q3.1,2,0.375898,,0.7941973171438388,0
Q3.1,3,0.381669,,0.7952698405691337,0
Q3.1,4,0.370711,,0.7932246355401732,0
Q3.1,5,0.37372,,0.795541786833554,0
Q3.2,1,0.165739,,0.8323560221151225,0
Q3.2,2,0.159741,,0.8368400622699067,0
Q3.2,3,0.167725,,0.8426984365713145,0
Q3.2,4,0.164131,,0.842135140226572,0
Q3.2,5,0.156359,,0.8396424131510426,0
Q3.3,1,0.112315,,0.7876787939484129,0
Q3.3,2,0.109169,,0.796271639813357,0
Q3.3,3,0.112533,,0.8031598364019568,0
Q3.3,4,0.108381,,0.7943551379577376,0
Q3.3,5,0.105937,,0.791070591381519,0
Q3.4,1,0.105706,,0.7865623307879338,0
Q3.4,2,0.120169,,0.7901712582752964,0
Q3.4,3,0.108177,,0.7865532152547164,0
Q3.4,4,0.101939,,0.7859502302390372,0
Q3.4,5,0.114439,,0.7944715221170489,0
Q4.1,1,0.503292,,0.879186480588231,0
Q4.1,2,0.377515,,0.8628994450909256,0
Q4.1,3,0.364404,,0.8603670055180183,0
Q4.1,4,0.345548,,0.8603331584275579,0
Q4.1,5,0.333687,,0.8618837634983868,0
Q4.2,1,0.311337,,0.8501771175594279,0
Q4.2,2,0.313564,,0.8498643857201021,0
Q4.2,3,0.313646,,0.8501209090237366,0
Q4.2,4,0.321536,,0.8484746331230804,0
Q4.2,5,0.321812,,0.8493988514727112,0
Q4.3,1,0.203796,,0.77950791636274,0
Q4.3,2,0.19003,,0.7747130609867445,0
Q4.3,3,0.192164,,0.7779460384107758,0
Q4.3,4,0.185773,,0.7747655470702232,0
Q4.3,5,0.195569,,0.7790996634830609,0
