query,warm_unbound_ms,warm_membind_ms,change_pct,max_rep_spread_pct,speedup_plotted,speedup_membind
Q1.1,133.6,178.8,33.8,3.5,1.12,1.13
Q1.2,130.7,152.6,16.8,2.5,1.11,1.11
Q1.3,131.8,150.7,14.3,2.7,1.09,1.09
Q2.1,161.4,166.4,3.1,2.7,2.26,2.32
Q2.2,155.2,159.7,2.9,26.9,2.09,2.15
Q2.3,112.9,113.3,0.4,11.4,2.01,2.01
Q3.1,375.5,390.7,4.0,8.0,1.99,2.04
Q3.2,162.0,164.8,1.7,18.8,4.31,4.38
Q3.3,109.0,113.4,4.0,5.4,2.38,2.47
Q3.4,109.6,111.2,1.4,5.1,26.8,26.9
Q4.1,354.4,412.2,16.3,2.7,3.02,3.41
Q4.2,305.5,342.2,12.0,6.4,4.6,4.85
Q4.3,190.9,201.5,5.5,4.3,8.79,9.14
