table,sf,col,plotted_ns,plotted_cycles,x8_cycles,x8_matches_plotted,x16_cycles,x16_ns,x16_over_plotted
customer,1,C2,743997.5,1190396,1190396,True,971000,606875.0,0.816
customer,10,C2,8472425,13555880,13555880,True,12380976,7738110.0,0.913
customer,100,C2,74653817.5,119446108,119446108,True,97143202,60714501.2,0.813
part,1,C3,1076788.75,1722862,1722862,True,1574558,984098.8,0.914
part,10,C3,12407645,19852232,19852232,True,26178913,16361820.6,1.319
part,100,C3,101314633.125,162103413,162103413,True,141580999,88488124.4,0.873
supplier,1,C4,968215,1549144,1549144,True,849117,530698.1,0.548
supplier,10,C4,9333137.5,14933020,14933020,True,12347054,7716908.8,0.827
supplier,100,C4,101365995,162185592,162185592,True,141981199,88738249.4,0.875
date,1,C5,764128.125,1222605,1222605,True,,,
date,10,C5,7642613.125,12228181,12228181,True,,,
date,100,C5,76424375,122279000,122279000,True,,,
