geometry,sf,table,increase_tcmp1_pct,increase_tcmp2_pct,increase_tcmp3_pct,increase_tcmp4_pct
x8,1,customer,0.79,0.87,49.32,53.86
x8,1,part,1.0,1.47,33.76,37.16
x8,1,supplier,21.9,21.96,44.05,45.18
x8,1,date,12.5,12.45,45.85,49.67
x8,10,customer,0.78,1.24,33.81,37.89
x8,10,part,0.05,0.01,18.27,21.51
x8,10,supplier,1.41,1.23,50.29,50.9
x8,10,date,12.52,12.48,45.98,49.66
x8,100,customer,0.78,0.6,49.13,53.7
x8,100,part,0.76,1.04,40.48,43.17
x8,100,supplier,0.81,1.07,40.44,43.14
x8,100,date,12.57,12.52,46.01,49.68
x16,1,customer,34.23,38.77,46.04,61.26
x16,1,part,14.78,20.09,26.69,36.32
x16,1,supplier,87.61,88.69,94.32,139.36
x16,10,customer,15.66,21.45,28.06,37.71
x16,10,part,0.35,0.74,1.58,3.2
x16,10,supplier,27.64,29.24,39.62,53.49
x16,100,customer,34.33,38.8,45.96,61.14
x16,100,part,21.54,26.79,34.27,45.63
x16,100,supplier,21.25,26.44,33.84,45.07
