geometry,sf,table,col,tcmp,completion_cycle,latency_ns
x8,1,date,C5,2,1374835,859271.875
x8,1,date,C5,1,1375396,859622.5
x8,1,date,C5,0,1222605,764128.125
x8,1,date,C5,3,1783204,1114502.5
x8,1,supplier,C4,1,1888443,1180276.875
x8,1,supplier,C4,2,1889311,1180819.375
x8,1,date,C5,4,1829888,1143680.0
x8,1,customer,C2,2,1200751,750469.375
x8,1,customer,C2,4,1831528,1144705.0
x8,1,customer,C2,1,1199751,749844.375
x8,1,supplier,C4,4,2249016,1405635.0
x8,1,supplier,C4,3,2231516,1394697.5
x8,1,customer,C2,3,1777558,1110973.75
x8,1,supplier,C4,0,1549144,968215.0
x8,1,customer,C2,0,1190396,743997.5
x8,1,part,C3,0,1722862,1076788.75
x8,1,part,C3,2,1748148,1092592.5
x8,1,part,C3,1,1740120,1087575.0
x8,1,part,C3,4,2363051,1476906.875
x8,1,part,C3,3,2304531,1440331.875
x8,10,date,C5,1,13759270,8599543.75
x8,10,date,C5,2,13753987,8596241.875
x8,10,date,C5,0,12228181,7642613.125
x8,10,date,C5,3,17850504,11156565.0
x8,10,date,C5,4,18300816,11438010.0
x8,10,customer,C2,0,13555880,8472425.0
x8,10,supplier,C4,4,22533575,14083484.375
x8,10,customer,C2,2,13723989,8577493.125
x8,10,supplier,C4,2,15117141,9448213.125
x8,10,customer,C2,1,13661521,8538450.625
x8,10,supplier,C4,1,15142989,9464368.125
x8,10,customer,C2,4,18692116,11682572.5
x8,10,supplier,C4,3,22443570,14027231.25
x8,10,supplier,C4,0,14933020,9333137.5
x8,10,customer,C2,3,18139013,11336883.125
x8,10,part,C3,2,19853998,12408748.75
x8,10,part,C3,0,19852232,12407645.0
x8,10,part,C3,1,19862562,12414101.25
x8,10,part,C3,4,24121916,15076197.5
x8,10,part,C3,3,23479533,14674708.125
x16,1,supplier,C4,0,849117,530698.125
x16,1,customer,C2,0,971000,606875.0
x16,1,customer,C2,1,1303380,814612.5
x16,1,customer,C2,3,1418012,886257.5
x16,1,customer,C2,2,1347479,842174.375
x16,1,customer,C2,4,1565857,978660.625
x16,1,supplier,C4,3,1649992,1031245.0
x16,1,supplier,C4,1,1593048,995655.0
x16,1,supplier,C4,2,1602237,1001398.125
x16,1,supplier,C4,4,2032427,1270266.875
x16,1,part,C3,0,1574558,984098.75
x16,1,part,C3,1,1807292,1129557.5
x16,1,part,C3,3,1994787,1246741.875
x16,1,part,C3,2,1890855,1181784.375
x16,1,part,C3,4,2146445,1341528.125
x16,10,supplier,C4,0,12347054,7716908.75
x16,10,supplier,C4,1,15759982,9849988.75
x16,10,supplier,C4,2,15957113,9973195.625
x16,10,supplier,C4,3,17239450,10774656.25
x16,10,supplier,C4,4,18951776,11844860.0
x16,10,customer,C2,0,12380976,7738110.0
x16,10,customer,C2,1,14320133,8950083.125
x16,10,customer,C2,2,15036648,9397905.0
x16,10,customer,C2,3,15855293,9909558.125
x16,10,customer,C2,4,17049646,10656028.75
x16,10,part,C3,1,26271081,16419425.625
x16,10,part,C3,0,26178913,16361820.625
x16,10,part,C3,2,26371715,16482321.875
x16,10,part,C3,4,27017059,16885661.875
x16,10,part,C3,3,26593330,16620831.25
x8,100,date,C5,2,137585413,85990883.125
x8,100,date,C5,1,137654077,86033798.125
x8,100,date,C5,3,178538354,111586471.25
x8,100,date,C5,0,122279000,76424375.0
x8,100,date,C5,4,183033272,114395795.0
x8,100,customer,C2,4,183585671,114741044.375
x8,100,customer,C2,2,120162566,75101603.75
x8,100,customer,C2,3,178127108,111329442.5
x8,100,customer,C2,1,120372395,75232746.875
x8,100,customer,C2,0,119446108,74653817.5
x8,100,supplier,C4,2,163914033,102446270.625
x8,100,supplier,C4,1,163493591,102183494.375
x8,100,part,C3,1,163335984,102084990.0
x8,100,part,C3,0,162103413,101314633.125
x8,100,part,C3,2,163782780,102364237.5
x8,100,supplier,C4,0,162185592,101365995.0
x8,100,supplier,C4,4,232149512,145093445.0
x8,100,part,C3,4,232089959,145056224.375
x8,100,supplier,C4,3,227773545,142358465.625
x8,100,part,C3,3,227722286,142326428.75
